gene,STX11,GYPE,ADRB2,CD5L,ANGPT4,GPM6A,NCKAP5,CD300LG,SGCG,KCNA4,NECAB1,SH3GL3,CA4,RAMP2,CLIC5,TNNC1,CAVIN2,RTKN2,HBM,ACADL,TEK,CLEC3B,AGER,WNT3A,SPAAR,MYZAP,ITLN2,FHL5,ST8SIA6,FMO2,LGI3,RGCC,CCM2L,BTNL9,CAV1,FAM107A,ADH1B,FHL1,PTPN21,EDNRB,EMP2,JAM2,PALM2AKAP2,CNTN6,OVCH1,CLDN18,HSPA12B,WWC2,LIMS2,GPD1,SPOCK2,ECSCR,EMCN,S1PR1,STXBP6,INMT,FABP4,CHRM1,ADAMTS8,PECAM1,SOX7,SSTR4,VEGFD,RXFP1,SFTPC,GPIHBP1,ACVRL1,SLC39A8,LDB2,OTC,CALCRL,KANK3,RAMP3,SIRPB1,JPH4,CMTM5,AQP4,SLC6A4,RS1,MGAT3,TAL1,FAM189A2,ALKAL2,LRRC36,GRIA1,SCUBE1,ARHGEF26,ASPA,SH2D3C,HIGD1B,CCDC85A,ANGPTL7,C14orf132,GRK5,VEPH1,FCN3,PRKG2,FGD5,OTUD1,LRRN3,ANOS1,PRX,FAM110D,EFCC1,TENT5B,FOXF1,AOC3,DPEP2,LAMP3,TMEM100,MCEMP1,ROBO4,SEMA3G,CLEC1A,CCDC141,SSMEM1,ABCA8,DKK2,PTPRB,SLC4A1,C10orf67,TNR,CAV2,PLAC9,GIMAP8,FRMD3,EPAS1,ARHGAP6,PIP5K1B,ADRB1,ARHGEF15,ACTN2,ARHGAP31,ERG,label
TCGA-05-4396-01A-21R-1858-07,106,1,24,1,0,19,342,0,4,1,15,10,73,319,427,24,475,141,0,79,238,77,124,1,15,87,2,85,65,497,24,1137,37,159,1176,113,406,395,420,698,2831,210,1212,1,5,54,144,782,198,18,1391,20,676,583,70,480,17,4,127,5548,35,0,76,47,571,22,879,1107,348,2,905,52,260,39,16,1,200,15,0,234,33,482,6,28,9,14,233,25,344,78,11,2,242,377,460,60,85,370,701,52,244,455,18,199,23,419,593,43,1153,155,8,578,218,48,5,0,117,89,882,0,1,8,630,75,359,88,15366,98,999,12,276,2,565,420,1
TCGA-05-4405-01A-21R-1858-07,180,14,208,3,14,16,48,16,8,2,63,2,3,344,1296,297,1630,194,0,45,318,48,802,5,8,15,7,41,64,908,96,962,41,538,1445,56,1743,671,658,313,7357,330,2231,600,3,292,208,897,392,145,631,19,345,454,29,564,31,0,124,4877,112,0,55,11,26909,70,861,3140,390,0,1064,167,276,42,27,3,3598,7,0,127,94,885,13,52,8,126,669,27,590,60,37,0,581,700,412,141,76,806,656,41,1835,275,61,304,66,288,2731,120,2807,815,63,303,333,46,8,0,470,235,580,9,2,11,2490,200,631,73,11906,131,166,146,316,28,1665,621,1
TCGA-05-4410-01A-21R-1858-07,271,6,64,2,11,24,28,4,6,4,11,1,53,148,437,123,723,127,0,20,231,47,137,8,8,5,0,40,57,947,11,549,33,81,1030,238,2376,609,453,181,6439,233,1700,2,2,50,88,1063,260,63,1618,9,131,393,40,490,27,2,110,4720,37,0,83,19,2115,37,544,4167,189,3,458,43,231,134,19,0,3890,9,1,344,42,484,11,9,23,130,970,39,353,20,8,6,229,300,1410,88,51,302,612,71,423,753,33,194,127,87,1283,112,3407,100,17,224,158,33,10,1,258,56,531,0,19,11,3057,85,516,61,7792,73,215,51,127,22,975,239,1
TCGA-05-4415-01A-22R-1858-07,445,4,56,2,0,96,16,3,11,0,147,4,42,84,531,99,9769,369,1,53,213,37,712,10,17,19,9,15,52,196,42,544,27,39,7865,132,45,186,1156,755,3468,175,2949,19,0,372,98,3102,171,7,1194,10,121,385,39,81,39,0,6,4177,71,0,23,17,1533,7,815,5979,194,0,870,54,194,164,23,1,2524,5,5,49,53,31,5,21,1,69,404,17,304,17,20,3,108,8655,151,300,51,557,237,52,145,594,17,50,180,135,265,36,2611,70,52,348,241,39,11,3,112,80,998,0,1,28,2235,22,395,84,38378,36,60,14,140,2,750,227,1
TCGA-05-4417-01A-22R-1858-07,350,13,90,0,10,12,649,2,6,1,45,0,54,703,233,37,684,264,0,9,806,251,203,2,21,31,1,189,79,795,20,1274,76,39,2344,232,759,1987,379,1188,3905,564,4830,8,12,63,403,633,750,54,3272,45,991,1477,70,590,60,3,230,12444,181,0,41,42,4334,57,2010,2643,886,6,2649,105,801,116,79,0,641,14,0,208,113,173,7,24,5,78,169,25,886,87,23,2,444,977,102,296,23,1086,1033,112,581,348,83,243,80,553,2912,112,2483,126,178,1334,742,134,31,0,256,294,2188,5,1,17,1008,149,805,147,28216,203,172,24,621,37,1802,1001,1
TCGA-05-4418-01A-01R-1206-07,703,25,63,2,23,41,36,7,5,0,366,7,36,487,375,101,2400,340,1,72,277,105,551,11,32,223,3,58,831,960,14,1265,52,76,2881,150,129,747,622,1241,1481,370,2676,10,5,180,238,1799,492,351,3754,51,142,1184,226,443,241,1,24,8573,104,0,29,33,976,54,1620,2743,1020,0,1105,230,427,483,41,1,700,10,1,132,97,103,10,24,15,342,161,20,877,56,11,2,774,1562,54,149,211,556,732,35,495,406,37,84,82,266,1674,159,5068,192,248,724,209,166,15,0,70,150,956,2,7,9,4211,131,883,151,37033,84,217,9,250,9,990,545,1
TCGA-05-4420-01A-01R-1206-07,223,14,36,0,27,0,54,1,1,0,34,1,50,1137,101,60,639,1043,2,3,468,179,427,10,92,93,0,145,34,1336,25,6538,94,57,1816,189,1655,816,192,717,8364,615,3033,3,2,76,232,1694,561,79,1917,75,636,1304,89,460,28,0,38,32528,93,1,21,89,12,79,1963,3249,1106,0,1964,177,703,274,9,3,119,12,3,110,96,554,36,90,76,51,254,25,1056,132,20,1,348,1161,62,617,11,577,798,12,803,161,109,352,581,325,1907,117,1244,93,563,1007,483,226,6,1,270,399,2674,32,2,0,1468,194,334,179,35871,142,98,8,497,5,918,779,1
TCGA-05-4424-01A-22R-1858-07,807,17,259,9,31,273,627,15,32,25,108,30,156,413,2083,285,3334,1320,0,285,954,213,6582,40,36,70,67,252,121,4043,401,2798,134,370,6589,1782,5332,3155,702,1145,16071,669,6120,119,38,4032,276,1830,846,563,4704,23,628,1885,262,3701,653,7,478,14683,430,0,955,101,73736,626,1818,4031,1089,10,1932,125,300,476,62,1,3670,215,13,338,208,690,76,79,319,206,987,92,956,117,91,37,1198,990,814,124,80,1563,1258,269,2839,724,139,209,523,444,5819,250,9676,248,377,1189,538,142,101,0,979,161,3158,5,10,7,2451,111,1498,200,30568,298,262,303,477,31,2416,1255,1
TCGA-05-4425-01A-01R-1755-07,378,5,844,15,26,10,42,3,4,2,108,0,0,277,282,249,357,295,0,5,285,43,832,9,26,52,0,15,33,370,40,510,54,4,1718,273,52,1105,301,191,9224,335,1740,9,1,2922,180,1956,260,125,1436,33,187,582,114,234,39,0,8,5453,63,0,9,11,25651,26,1033,14021,392,2,887,193,315,86,23,4,1734,12,1,538,34,706,22,75,3,56,55,34,500,4,91,7,399,570,728,12,191,1152,381,36,1727,255,39,101,160,220,287,142,9914,29,180,362,298,74,418,1,91,74,405,2,1,3,868,267,572,106,9217,68,236,576,234,5,4534,457,1
TCGA-05-4426-01A-01R-1206-07,479,13,382,3,17,83,100,4,8,4,65,127,81,642,1018,768,1086,448,0,836,260,123,2019,35,116,202,2,93,74,564,45,2109,46,133,7159,78,265,1373,1110,1195,10538,345,2858,271,1,900,278,3074,613,90,2459,32,1288,863,194,579,15,1,85,9319,70,3,57,278,6998,27,2167,9178,454,0,1039,338,606,242,36,4,3466,29,0,151,92,372,37,61,38,98,852,173,910,99,80,2,1956,679,534,119,22,1058,1018,84,1993,1225,67,113,851,548,1392,142,2706,297,1681,1187,274,116,18,0,1054,95,696,2,6,12,7717,109,555,133,22189,188,176,75,462,12,2746,994,1
