gene,GYPE,ADRB2,CD5L,ANGPT4,GPM6A,NCKAP5,CD300LG,SGCG,SH3GL3,CA4,CAVIN2,RTKN2,HBM,ACADL,TEK,AGER,WNT3A,MYZAP,ITLN2,FHL5,ST8SIA6,LGI3,CCM2L,BTNL9,ADH1B,FHL1,PTPN21,EMP2,CNTN6,CLDN18,HSPA12B,LIMS2,SPOCK2,EMCN,S1PR1,STXBP6,FABP4,SOX7,VEGFD,RXFP1,SFTPC,ACVRL1,SLC39A8,LDB2,OTC,CALCRL,KANK3,RAMP3,SIRPB1,JPH4,SLC6A4,RS1,MGAT3,TAL1,ALKAL2,LRRC36,GRIA1,SCUBE1,ANGPTL7,GRK5,VEPH1,PRKG2,ANOS1,PRX,FAM110D,EFCC1,TENT5B,DPEP2,LAMP3,TMEM100,SEMA3G,CLEC1A,CCDC141,SSMEM1,ABCA8,DKK2,SLC4A1,CAV2,GIMAP8,EPAS1,ADRB1,ARHGEF15,ACTN2,ARHGAP31,label
TCGA-05-4396-01A-21R-1858-07,1,24,1,0,19,342,0,4,10,73,475,141,0,79,238,124,1,87,2,85,65,24,37,159,406,395,420,2831,1,54,144,198,1391,676,583,70,17,35,76,47,571,879,1107,348,2,905,52,260,39,16,15,0,234,33,6,28,9,14,2,377,460,85,244,455,18,199,23,43,1153,155,218,48,5,0,117,89,0,630,359,15366,12,276,2,565,1
TCGA-05-4405-01A-21R-1858-07,14,208,3,14,16,48,16,8,2,3,1630,194,0,45,318,802,5,15,7,41,64,96,41,538,1743,671,658,7357,600,292,208,392,631,345,454,29,31,112,55,11,26909,861,3140,390,0,1064,167,276,42,27,7,0,127,94,13,52,8,126,0,700,412,76,1835,275,61,304,66,120,2807,815,333,46,8,0,470,235,9,2490,631,11906,146,316,28,1665,1
TCGA-05-4410-01A-21R-1858-07,6,64,2,11,24,28,4,6,1,53,723,127,0,20,231,137,8,5,0,40,57,11,33,81,2376,609,453,6439,2,50,88,260,1618,131,393,40,27,37,83,19,2115,544,4167,189,3,458,43,231,134,19,9,1,344,42,11,9,23,130,6,300,1410,51,423,753,33,194,127,112,3407,100,158,33,10,1,258,56,0,3057,516,7792,51,127,22,975,1
TCGA-05-4415-01A-22R-1858-07,4,56,2,0,96,16,3,11,4,42,9769,369,1,53,213,712,10,19,9,15,52,42,27,39,45,186,1156,3468,19,372,98,171,1194,121,385,39,39,71,23,17,1533,815,5979,194,0,870,54,194,164,23,5,5,49,53,5,21,1,69,3,8655,151,51,145,594,17,50,180,36,2611,70,241,39,11,3,112,80,0,2235,395,38378,14,140,2,750,1
TCGA-05-4417-01A-22R-1858-07,13,90,0,10,12,649,2,6,0,54,684,264,0,9,806,203,2,31,1,189,79,20,76,39,759,1987,379,3905,8,63,403,750,3272,991,1477,70,60,181,41,42,4334,2010,2643,886,6,2649,105,801,116,79,14,0,208,113,7,24,5,78,2,977,102,23,581,348,83,243,80,112,2483,126,742,134,31,0,256,294,5,1008,805,28216,24,621,37,1802,1
TCGA-05-4418-01A-01R-1206-07,25,63,2,23,41,36,7,5,7,36,2400,340,1,72,277,551,11,223,3,58,831,14,52,76,129,747,622,1481,10,180,238,492,3754,142,1184,226,241,104,29,33,976,1620,2743,1020,0,1105,230,427,483,41,10,1,132,97,10,24,15,342,2,1562,54,211,495,406,37,84,82,159,5068,192,209,166,15,0,70,150,2,4211,883,37033,9,250,9,990,1
TCGA-05-4420-01A-01R-1206-07,14,36,0,27,0,54,1,1,1,50,639,1043,2,3,468,427,10,93,0,145,34,25,94,57,1655,816,192,8364,3,76,232,561,1917,636,1304,89,28,93,21,89,12,1963,3249,1106,0,1964,177,703,274,9,12,3,110,96,36,90,76,51,1,1161,62,11,803,161,109,352,581,117,1244,93,483,226,6,1,270,399,32,1468,334,35871,8,497,5,918,1
TCGA-05-4424-01A-22R-1858-07,17,259,9,31,273,627,15,32,30,156,3334,1320,0,285,954,6582,40,70,67,252,121,401,134,370,5332,3155,702,16071,119,4032,276,846,4704,628,1885,262,653,430,955,101,73736,1818,4031,1089,10,1932,125,300,476,62,215,13,338,208,76,79,319,206,37,990,814,80,2839,724,139,209,523,250,9676,248,538,142,101,0,979,161,5,2451,1498,30568,303,477,31,2416,1
TCGA-05-4425-01A-01R-1755-07,5,844,15,26,10,42,3,4,0,0,357,295,0,5,285,832,9,52,0,15,33,40,54,4,52,1105,301,9224,9,2922,180,260,1436,187,582,114,39,63,9,11,25651,1033,14021,392,2,887,193,315,86,23,12,1,538,34,22,75,3,56,7,570,728,191,1727,255,39,101,160,142,9914,29,298,74,418,1,91,74,2,868,572,9217,576,234,5,4534,1
TCGA-05-4426-01A-01R-1206-07,13,382,3,17,83,100,4,8,127,81,1086,448,0,836,260,2019,35,202,2,93,74,45,46,133,265,1373,1110,10538,271,900,278,613,2459,1288,863,194,15,70,57,278,6998,2167,9178,454,0,1039,338,606,242,36,29,0,151,92,37,61,38,98,2,679,534,22,1993,1225,67,113,851,142,2706,297,274,116,18,0,1054,95,2,7717,555,22189,75,462,12,2746,1
TCGA-05-4427-01A-21R-1858-07,6,334,4,5,13,36,1,9,3,60,7048,571,0,35,432,514,1,28,7,51,38,18,23,24,217,480,820,10056,16,322,156,983,971,207,490,29,47,116,17,13,4259,971,1768,387,4,936,119,210,158,32,24,3,60,52,5,10,5,25,1,557,154,35,1670,302,25,78,37,98,2589,135,358,92,22,0,67,44,7,2403,532,12508,14,218,8,1044,1
TCGA-05-4430-01A-02R-1206-07,29,533,18,20,229,205,47,63,30,173,2830,1146,6,227,1045,13192,292,73,107,288,228,459,140,305,5493,3416,1139,23569,95,4528,637,1907,5126,1649,2931,298,317,317,679,108,119399,3799,8482,1620,3,5384,289,1416,890,93,91,17,476,194,76,190,86,225,25,1877,635,72,4270,710,208,247,602,295,20504,1022,910,275,86,1,874,770,12,5721,1808,30381,92,990,27,3138,1
TCGA-05-4432-01A-01R-1206-07,12,167,5,12,78,1465,13,10,14,161,2956,1601,0,109,550,3516,17,46,132,109,115,221,121,171,1009,1118,1442,9263,48,4555,317,713,5151,494,1339,100,189,149,203,60,30314,2314,3702,801,3,2087,201,545,297,54,136,11,562,99,24,59,17,144,6,4582,249,386,1763,623,116,248,590,229,6025,493,711,114,108,0,326,188,3,1663,1234,58285,267,522,38,1733,1
TCGA-05-4433-01A-22R-1858-07,24,236,3,16,112,222,90,10,14,164,804,1636,0,188,557,5069,49,125,79,58,129,220,46,574,2201,1348,1337,7068,72,112732,164,388,3503,338,820,514,26,209,203,54,34743,1132,5229,409,2,1277,136,342,462,42,155,6,1371,75,32,39,128,218,12,1653,452,137,691,783,69,142,83,320,9270,204,309,83,144,0,375,140,1,2907,669,11556,74,411,20,1582,1
TCGA-05-4434-01A-01R-1206-07,38,413,21,54,106,297,25,16,48,315,1860,560,1,93,974,762,176,100,0,129,234,83,157,292,5057,3780,1231,9826,6,385,613,1772,8457,1153,2307,870,91,734,385,18,19333,3072,10779,2807,4,2749,405,1053,907,115,18,2,1009,183,43,108,162,183,13,1482,1279,43,1188,662,180,602,934,582,7831,200,368,286,51,3,1101,305,5,10785,2453,28498,308,860,44,4400,1
TCGA-05-5420-01A-01R-1628-07,7,108,0,0,29,15,3,1,5,6,1173,185,0,51,177,972,0,20,9,65,414,46,18,3,702,366,112,2488,32,658,75,120,2066,329,482,43,131,26,36,15,30728,992,5455,338,1,1618,34,543,205,36,7,4,63,23,13,55,5,25,3,260,228,31,282,48,22,15,80,212,2832,84,41,179,17,0,116,123,0,605,548,6533,7,98,1,783,1
TCGA-05-5423-01A-01R-1628-07,12,424,11,43,72,81,20,17,1,33,663,457,0,207,305,3978,26,28,25,93,129,70,28,83,2015,1022,308,12419,415,2233,93,276,1661,294,563,112,385,104,194,58,34327,846,14195,354,4,1280,65,402,176,89,111,12,103,39,18,464,67,50,4,323,3987,36,1424,165,40,144,133,272,8557,301,111,112,50,1,175,100,0,3489,285,5787,158,111,8,1727,1
TCGA-05-5425-01A-02R-1628-07,16,146,11,3,70,37,2,9,8,87,1336,345,2,184,368,2519,16,73,12,138,69,275,21,114,1392,772,332,4916,19,2105,168,317,8226,324,1429,141,117,239,123,44,70892,1176,4842,542,0,1608,130,566,521,36,10,12,333,139,36,28,21,82,2,836,690,63,699,269,99,69,317,226,5201,243,249,120,75,0,203,72,3,1786,458,18412,29,207,8,1271,1
